Vendor;Tech;NodeId;SiteName;SiteLabel;LocalCellId;LocalCellName;Frequency;Code;Tac;SSS;PSS;RACH;Band;CellAdminState;Node;Sector;Carrier;LiveState;GCI;SiteType;Longitude;Latitude;dlBandwidth;Capacity;AreaName;DlRadioSpeed;UlRadioSpeed;FDDTDD;BandNumber;CellMode;CellId;CellType;CarrierLabel;CellState;SiteStatus;Azimuth;Antenna_Height;MDT;EDT;AntennaReference;HBeamwidth
Ericsson;4G;17754;EXPO SUL;00847;4;LB17754L04_EXPO_SUL;1300;124;5;41;1;214;L1800;ACTIVATED;LB17754;1;7;LIVE;268-1-17754-4;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;30;8;0;8;AQU4518R5_30;65
Ericsson;4G;17754;EXPO SUL;00847;5;LB17754L05_EXPO_SUL;1300;125;5;41;2;236;L1800;ACTIVATED;LB17754;2;7;LIVE;268-1-17754-5;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;120;8;0;7;AQU4518R5_120;65
Ericsson;4G;17754;EXPO SUL;00847;6;LB17754L06_EXPO_SUL;1300;123;5;41;0;192;L1800;ACTIVATED;LB17754;3;7;LIVE;268-1-17754-6;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;230;10;0;6;AQU4518R5_230;65
Ericsson;4G;17754;EXPO SUL;00847;7;LB17754L07_EXPO_SUL;2950;124;5;41;1;214;L2600;ACTIVATED;LB17754;1;13;LIVE;268-1-17754-7;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;7;FDD;7;Macro;4;LIVE;LIVE;30;8;0;8;AQU4518R5_30;60
Ericsson;4G;17754;EXPO SUL;00847;8;LB17754L08_EXPO_SUL;2950;125;5;41;2;236;L2600;ACTIVATED;LB17754;2;13;LIVE;268-1-17754-8;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;7;FDD;8;Macro;4;LIVE;LIVE;120;8;0;7;AQU4518R5_120;60
Ericsson;4G;17754;EXPO SUL;00847;9;LB17754L09_EXPO_SUL;2950;123;5;41;0;192;L2600;ACTIVATED;LB17754;3;13;LIVE;268-1-17754-9;Edificio;-9.102432;38.760026;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;7;FDD;9;Macro;4;LIVE;LIVE;230;10;0;6;AQU4518R5_230;60
Ericsson;4G;17754;EXPO SUL;00847;1;LB17754L01_EXPO_SUL;6300;124;5;41;1;214;L800;ACTIVATED;LB17754;1;6;LIVE;268-1-17754-1;Edificio;-9.102432;38.760026;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;30;8;0;7;AQU4518R5_30;65
Ericsson;4G;17754;EXPO SUL;00847;2;LB17754L02_EXPO_SUL;6300;125;5;41;2;236;L800;ACTIVATED;LB17754;2;6;LIVE;268-1-17754-2;Edificio;-9.102432;38.760026;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;120;8;0;8;AQU4518R5_120;65
Ericsson;4G;17754;EXPO SUL;00847;3;LB17754L03_EXPO_SUL;6300;123;5;41;0;192;L800;ACTIVATED;LB17754;3;6;LIVE;268-1-17754-3;Edificio;-9.102432;38.760026;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;230;10;0;7;AQU4518R5_230;65
Ericsson;4G;17754;EXPO SUL;00847;10;LB17754L10_EXPO_SUL;78;124;5;41;1;214;L2100;ACTIVATED;LB17754;1;10;LIVE;268-1-17754-10;Edificio;-9.102432;38.760026;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;10;Macro;3;LIVE;LIVE;30;8;0;8;AQU4518R5_30;62
Ericsson;4G;17754;EXPO SUL;00847;11;LB17754L11_EXPO_SUL;78;125;5;41;2;236;L2100;ACTIVATED;LB17754;2;10;LIVE;268-1-17754-11;Edificio;-9.102432;38.760026;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;11;Macro;3;LIVE;LIVE;120;8;0;7;AQU4518R5_120;62
Ericsson;4G;17754;EXPO SUL;00847;12;LB17754L12_EXPO_SUL;78;123;5;41;0;192;L2100;ACTIVATED;LB17754;3;10;LIVE;268-1-17754-12;Edificio;-9.102432;38.760026;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;12;Macro;3;LIVE;LIVE;230;10;0;6;AQU4518R5_230;62
Ericsson;4G;17756;CHELAS;00849;4;LB17756L04_CHELAS;1300;84;5;28;0;172;L1800;ACTIVATED;LB17756;1;7;LIVE;268-1-17756-4;Edificio;-9.11727;38.75613;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;350;15;0;4;K80010622_350;65
Ericsson;4G;17756;CHELAS;00849;5;LB17756L05_CHELAS;1300;85;5;28;1;194;L1800;ACTIVATED;LB17756;2;7;LIVE;268-1-17756-5;Edificio;-9.11727;38.75613;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;0;0;0;6;K80010622_0;65
Ericsson;4G;17756;CHELAS;00849;6;LB17756L06_CHELAS;1300;86;5;28;2;216;L1800;ACTIVATED;LB17756;3;7;LIVE;268-1-17756-6;Edificio;-9.11727;38.75613;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;230;15;2;5;K80010622_230;65
Ericsson;4G;17756;CHELAS;00849;81;LB17756L24_CHELAS;6300;84;100;28;0;n/a;L800;ACTIVATED;LB17756;1;6;LIVE;268-1-17756-81;Edificio;-9.11727;38.75613;n/a;N/A;L;N/A;N/A;FDD;NULL;NB-IoT;81;Macro;1;LIVE;LIVE;350;15;0;4;ADU4518R3_350;69
Ericsson;4G;17756;CHELAS;00849;1;LB17756L01_CHELAS;6300;84;5;28;0;172;L800;ACTIVATED;LB17756;1;6;LIVE;268-1-17756-1;Edificio;-9.11727;38.75613;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;350;15;0;4;ADU4518R3_350;69
Ericsson;4G;17756;CHELAS;00849;2;LB17756L02_CHELAS;6300;85;5;28;1;194;L800;ACTIVATED;LB17756;2;6;LIVE;268-1-17756-2;Edificio;-9.11727;38.75613;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;110;15;2;8;ADU4518R3_110;69
Ericsson;4G;17756;CHELAS;00849;82;LB17756L25_CHELAS;6300;85;100;28;1;n/a;L800;ACTIVATED;LB17756;2;6;LIVE;268-1-17756-82;Edificio;-9.11727;38.75613;n/a;N/A;L;N/A;N/A;FDD;NULL;NB-IoT;82;Macro;1;LIVE;LIVE;110;15;2;8;ADU4518R3_110;69
Ericsson;4G;17756;CHELAS;00849;83;LB17756L26_CHELAS;6300;86;100;28;2;n/a;L800;ACTIVATED;LB17756;3;6;LIVE;268-1-17756-83;Edificio;-9.11727;38.75613;n/a;N/A;L;N/A;N/A;FDD;NULL;NB-IoT;83;Macro;1;LIVE;LIVE;230;15;2;4;ADU4518R3_230;69
Ericsson;4G;17756;CHELAS;00849;3;LB17756L03_CHELAS;6300;86;5;28;2;216;L800;ACTIVATED;LB17756;3;6;LIVE;268-1-17756-3;Edificio;-9.11727;38.75613;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;230;15;2;4;ADU4518R3_230;69
Ericsson;4G;2715;CHELAS II;01387;4;4LB02715D_CHELAS_II;1300;261;5;87;0;714;L1800;ACTIVATED;4LB02715;1;7;LIVE;268-1-2715-4;Edificio;-9.11414;38.74604;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;350;28;4;6;K80010622_350;65
Ericsson;4G;2715;CHELAS II;01387;5;4LB02715E_CHELAS_II;1300;262;5;87;1;736;L1800;ACTIVATED;4LB02715;2;7;LIVE;268-1-2715-5;Edificio;-9.11414;38.74604;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;140;28;2;4;K80010622_140;65
Ericsson;4G;2715;CHELAS II;01387;6;4LB02715F_CHELAS_II;1300;263;5;87;2;758;L1800;ACTIVATED;4LB02715;3;7;LIVE;268-1-2715-6;Edificio;-9.11414;38.74604;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;240;28;4;5;K80010622_240;65
Ericsson;4G;2715;CHELAS II;01387;1;4LB02715A_CHELAS_II;6300;261;5;87;0;714;L800;ACTIVATED;4LB02715;1;6;LIVE;268-1-2715-1;Edificio;-9.11414;38.74604;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;350;28;4;6;ADU4516R0_350;69
Ericsson;4G;2715;CHELAS II;01387;2;4LB02715B_CHELAS_II;6300;262;5;87;1;736;L800;ACTIVATED;4LB02715;2;6;LIVE;268-1-2715-2;Edificio;-9.11414;38.74604;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;140;28;2;4;ADU4516R0_140;69
Ericsson;4G;2715;CHELAS II;01387;3;4LB02715C_CHELAS_II;6300;263;5;87;2;758;L800;ACTIVATED;4LB02715;3;6;LIVE;268-1-2715-3;Edificio;-9.11414;38.74604;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;240;28;4;5;ADU4516R0_240;69
Ericsson;4G;13025;OMC-MATINHA;01889;4;LB13025L04_OMC_MATINHA;1300;444;5;148;0;550;L1800;ACTIVATED;LB13025;1;7;LIVE;268-1-13025-4;Edificio com Torre;-9.09831;38.74737;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;310;23;0;2;K80010698_310;65
Ericsson;4G;13025;OMC-MATINHA;01889;5;LB13025L05_OMC_MATINHA;1300;445;5;148;1;572;L1800;ACTIVATED;LB13025;2;7;LIVE;268-1-13025-5;Edificio com Torre;-9.09831;38.74737;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;0;23;0;7;AQU4518R5_0;65
Ericsson;4G;13025;OMC-MATINHA;01889;6;LB13025L06_OMC_MATINHA;1300;446;5;148;2;594;L1800;ACTIVATED;LB13025;3;7;LIVE;268-1-13025-6;Edificio com Torre;-9.09831;38.74737;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;240;25;0;6;K80010698_240;65
Ericsson;4G;13025;OMC-MATINHA;01889;1;LB13025L01_OMC_MATINHA;6300;444;5;148;0;550;L800;ACTIVATED;LB13025;1;6;LIVE;268-1-13025-1;Edificio com Torre;-9.09831;38.74737;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;310;23;0;3;K80010698_310;68
Ericsson;4G;13025;OMC-MATINHA;01889;2;LB13025L02_OMC_MATINHA;6300;445;5;148;1;572;L800;ACTIVATED;LB13025;2;6;LIVE;268-1-13025-2;Edificio com Torre;-9.09831;38.74737;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;0;23;0;10;AQU4518R5_0;65
Ericsson;4G;13025;OMC-MATINHA;01889;3;LB13025L03_OMC_MATINHA;6300;446;5;148;2;594;L800;ACTIVATED;LB13025;3;6;LIVE;268-1-13025-3;Edificio com Torre;-9.09831;38.74737;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;240;25;0;8;K80010698_240;68
Ericsson;4G;13025;OMC-MATINHA;01889;10;LB13025L10_OMC_MATINHA;78;444;5;148;0;550;L2100;ACTIVATED;LB13025;1;10;LIVE;268-1-13025-10;Edificio com Torre;-9.09831;38.74737;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;10;Macro;3;LIVE;LIVE;310;25;0;4;K80010485_310;65
Ericsson;4G;13025;OMC-MATINHA;01889;11;LB13025L11_OMC_MATINHA;78;445;5;148;1;572;L2100;ACTIVATED;LB13025;2;10;LIVE;268-1-13025-11;Edificio com Torre;-9.09831;38.74737;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;11;Macro;3;LIVE;LIVE;0;23;0;6;AQU4518R5_0;62
Ericsson;4G;13025;OMC-MATINHA;01889;12;LB13025L12_OMC_MATINHA;78;446;5;148;2;594;L2100;ACTIVATED;LB13025;3;10;LIVE;268-1-13025-12;Edificio com Torre;-9.09831;38.74737;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;12;Macro;3;LIVE;LIVE;240;25;0;6;K742212_240;63
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;4;4LB05031D_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;1300;303;5;101;0;800;L1800;ACTIVATED;4LB05031;1;7;LIVE;268-1-5031-4;Torre;-9.112;38.75785;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;30;15;2;3;AQU4518R5_30;65
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;5;4LB05031E_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;1300;304;5;101;1;822;L1800;ACTIVATED;4LB05031;2;7;LIVE;268-1-5031-5;Torre;-9.112;38.75785;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;180;15;2;3;AQU4518R5_180;65
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;6;4LB05031F_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;1300;305;5;101;2;6;L1800;ACTIVATED;4LB05031;3;7;LIVE;268-1-5031-6;Torre;-9.112;38.75785;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;315;20;0;6;AQU4518R5_315;65
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;7;4LB05031G_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;2950;303;5;101;0;800;L2600;ACTIVATED;4LB05031;1;13;LIVE;268-1-5031-7;Torre;-9.112;38.75785;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;7;FDD;7;Macro;4;LIVE;LIVE;30;15;2;4;AQU4518R5_30;60
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;8;4LB05031H_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;2950;304;5;101;1;822;L2600;ACTIVATED;4LB05031;2;13;LIVE;268-1-5031-8;Torre;-9.112;38.75785;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;7;FDD;8;Macro;4;LIVE;LIVE;180;15;2;4;AQU4518R5_180;60
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;9;4LB05031I_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;2950;305;5;101;2;6;L2600;ACTIVATED;4LB05031;3;13;LIVE;268-1-5031-9;Torre;-9.112;38.75785;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;7;FDD;9;Macro;4;LIVE;LIVE;315;20;0;6;AQU4518R5_315;60
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;1;4LB05031A_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;6300;303;5;101;0;800;L800;ACTIVATED;4LB05031;1;6;LIVE;268-1-5031-1;Torre;-9.112;38.75785;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;30;15;2;7;AQU4518R5_30;65
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;2;4LB05031B_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;6300;304;5;101;1;822;L800;ACTIVATED;4LB05031;2;6;LIVE;268-1-5031-2;Torre;-9.112;38.75785;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;180;15;2;8;AQU4518R5_180;65
