Vendor;Tech;NodeId;SiteName;SiteLabel;LocalCellId;LocalCellName;Frequency;Code;Tac;SSS;PSS;RACH;Band;CellAdminState;Node;Sector;Carrier;LiveState;GCI;SiteType;Longitude;Latitude;dlBandwidth;Capacity;AreaName;DlRadioSpeed;UlRadioSpeed;FDDTDD;BandNumber;CellMode;CellId;CellType;CarrierLabel;CellState;SiteStatus;Azimuth;Antenna_Height;MDT;EDT;AntennaReference;HBeamwidth
Ericsson;4G;5031;AVENIDA MARECHAL GOMES DA COSTA - LISBOA;02127;3;4LB05031C_AVENIDA_MARECHAL_GOMES_DA_COSTA___LISBOA;6300;305;5;101;2;6;L800;ACTIVATED;4LB05031;3;6;LIVE;268-1-5031-3;Torre;-9.112;38.75785;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;315;20;0;6;AQU4518R5_315;65
Ericsson;4G;16284;CENTRO COMERCIAL OLIVAIS SHOPPING;02182;4;LB16284L04_CENTRO_COMERCIAL_OLIVAIS_SHOPPING;1300;390;5;130;0;200;L1800;ACTIVATED;LB16284;1;7;LIVE;268-1-16284-4;Indoor;-9.114009;38.762163;20 MHz;DL 202Mbps / UL 75.4Mbps;CST;202;75.4;FDD;3;FDD;4;Indoor;2;LIVE;LIVE;0;3;0;0;INDOOR_0;359
Ericsson;4G;16284;CENTRO COMERCIAL OLIVAIS SHOPPING;02182;10;LB16284L10_CENTRO_COMERCIAL_OLIVAIS_SHOPPING;78;390;5;130;0;200;L2100;ACTIVATED;LB16284;1;10;LIVE;268-1-16284-10;Indoor;-9.114009;38.762163;15 MHz;DL 151Mbps / UL 55.1Mbps;CST;151;55.1;FDD;1;FDD;10;Indoor;3;LIVE;LIVE;0;3;0;0;INDOOR_0;359
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;5;LB18966L05_BAIRRO_DO_RELOGIO;1300;64;5;21;1;570;L1800;ACTIVATED;LB18966;2;7;LIVE;268-1-18966-5;Edificio;-9.12572;38.75947;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;100;20;0;2;ATR4518R2_100;61
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;6;LB18966L06_BAIRRO_DO_RELOGIO;1300;65;5;21;2;592;L1800;ACTIVATED;LB18966;3;7;LIVE;268-1-18966-6;Edificio;-9.12572;38.75947;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;180;20;3;5;ATR4518R2_180;61
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;2;LB18966L02_BAIRRO_DO_RELOGIO;6300;64;5;21;1;570;L800;ACTIVATED;LB18966;2;6;LIVE;268-1-18966-2;Edificio;-9.12572;38.75947;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;100;20;0;7;ATR4518R2_100;68
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;3;LB18966L03_BAIRRO_DO_RELOGIO;6300;65;5;21;2;592;L800;ACTIVATED;LB18966;3;6;LIVE;268-1-18966-3;Edificio;-9.12572;38.75947;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;180;20;3;7;ATR4518R2_180;68
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;11;LB18966L11_BAIRRO_DO_RELOGIO;78;64;5;21;1;570;L2100;ACTIVATED;LB18966;2;10;LIVE;268-1-18966-11;Edificio;-9.12572;38.75947;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;11;Macro;3;LIVE;LIVE;100;22;2;5;K742264v02_100;61
Ericsson;4G;18966;BAIRRO DO RELOGIO;02203;12;LB18966L12_BAIRRO_DO_RELOGIO;78;65;5;21;2;592;L2100;ACTIVATED;LB18966;3;10;LIVE;268-1-18966-12;Edificio;-9.12572;38.75947;15 MHz;DL 151Mbps / UL 55.1Mbps;L;151;55.1;FDD;1;FDD;12;Macro;3;LIVE;LIVE;190;22;3;5;K742264v02_190;61
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;4;4LB00479D_FEIRA_NOVA___CHELAS;1300;459;5;153;0;42;L1800;ACTIVATED;4LB00479;1;7;LIVE;268-1-479-4;Edificio com Torre;-9.11695;38.74935;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;310;3;-2;4;AQU4518R5_310;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;5;4LB00479E_FEIRA_NOVA___CHELAS;1300;460;5;153;1;64;L1800;ACTIVATED;4LB00479;2;7;LIVE;268-1-479-5;Edificio com Torre;-9.11695;38.74935;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;100;8;2;4;AQU4518R5_100;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;6;4LB00479F_FEIRA_NOVA___CHELAS;1300;461;5;153;2;86;L1800;ACTIVATED;4LB00479;3;7;LIVE;268-1-479-6;Edificio com Torre;-9.11695;38.74935;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;230;8;-3;5;AQU4518R5_230;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;1;4LB00479A_FEIRA_NOVA___CHELAS;6300;459;5;153;0;42;L800;ACTIVATED;4LB00479;1;6;LIVE;268-1-479-1;Edificio com Torre;-9.11695;38.74935;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;310;3;-2;8;AQU4518R5_310;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;2;4LB00479B_FEIRA_NOVA___CHELAS;6300;460;5;153;1;64;L800;ACTIVATED;4LB00479;2;6;LIVE;268-1-479-2;Edificio com Torre;-9.11695;38.74935;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;100;8;2;10;AQU4518R5_100;65
Ericsson;4G;479;FEIRA NOVA - CHELAS;02283;3;4LB00479C_FEIRA_NOVA___CHELAS;6300;461;5;153;2;86;L800;ACTIVATED;4LB00479;3;6;LIVE;268-1-479-3;Edificio com Torre;-9.11695;38.74935;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;230;8;-3;8;AQU4518R5_230;65
Ericsson;4G;5071;BELAVISTA;03056;4;4LB05071D_BELAVISTA;1300;411;5;137;0;662;L1800;ACTIVATED;4LB05071;1;7;LIVE;268-1-5071-4;Edificio;-9.124319;38.751089;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;340;24;2;7;AQU4518R5_340;65
Ericsson;4G;5071;BELAVISTA;03056;5;4LB05071E_BELAVISTA;1300;413;5;137;2;706;L1800;ACTIVATED;4LB05071;2;7;LIVE;268-1-5071-5;Edificio;-9.124319;38.751089;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;90;21;5;8;AQU4518R5_90;65
Ericsson;4G;5071;BELAVISTA;03056;1;4LB05071A_BELAVISTA;6300;411;5;137;0;662;L800;ACTIVATED;4LB05071;1;6;LIVE;268-1-5071-1;Edificio;-9.124319;38.751089;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;340;24;2;9;AQU4518R5_340;65
Ericsson;4G;5071;BELAVISTA;03056;2;4LB05071B_BELAVISTA;6300;413;5;137;2;706;L800;ACTIVATED;4LB05071;2;6;LIVE;268-1-5071-2;Edificio;-9.124319;38.751089;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;90;21;5;10;AQU4518R5_90;65
Ericsson;4G;6600;ML ESTACAO BELA VISTA;03703;11;4LB06600K_ML_ESTACAO_BELA_VISTA;103;457;5;152;1;380;L2100;ACTIVATED;4LB06600;2;11;LIVE;268-1-6600-11;Indoor;-9.11961;38.749694;10 MHz;DL 50Mbps / UL 36.7Mbps;CST;50;36.7;FDD;1;FDD;K;Indoor;3;LIVE;LIVE;0;0;0;0;INDOOR_0;359
Ericsson;4G;6600;ML ESTACAO BELA VISTA;03703;1;4LB06600A_ML_ESTACAO_BELA_VISTA;1300;456;5;152;0;370;L1800;ACTIVATED;4LB06600;1;7;LIVE;268-1-6600-1;Indoor;-9.11961;38.749694;20 MHz;DL 101Mbps / UL 75.4Mbps;CST;101;75.4;FDD;3;FDD;1;Indoor;2;LIVE;LIVE;0;0;0;0;INDOOR_0;359
Ericsson;4G;6600;ML ESTACAO BELA VISTA;03703;4;4LB06600D_ML_ESTACAO_BELA_VISTA;1300;192;5;64;0;244;L1800;ACTIVATED;4LB06600;1;7;LIVE;268-1-6600-4;Indoor;-9.11961;38.749694;20 MHz;DL 101Mbps / UL 75.4Mbps;CST;101;75.4;FDD;3;FDD;4;Indoor;2;LIVE;LIVE;0;0;0;0;INDOOR_0;359
Ericsson;4G;6600;ML ESTACAO BELA VISTA;03703;2;4LB06600B_ML_ESTACAO_BELA_VISTA;1300;457;5;152;1;380;L1800;ACTIVATED;4LB06600;2;7;LIVE;268-1-6600-2;Indoor;-9.11961;38.749694;5 MHz;DL 25Mbps / UL 18.8Mbps;CST;25;18.8;FDD;3;FDD;2;Indoor;2;LIVE;LIVE;0;0;0;0;INDOOR_0;359
Ericsson;4G;6600;ML ESTACAO BELA VISTA;03703;3;4LB06600C_ML_ESTACAO_BELA_VISTA;1300;458;5;152;2;390;L1800;ACTIVATED;4LB06600;3;7;LIVE;268-1-6600-3;Indoor;-9.11961;38.749694;20 MHz;DL 101Mbps / UL 75.4Mbps;CST;101;75.4;FDD;3;FDD;3;Indoor;2;LIVE;LIVE;0;0;0;0;INDOOR_0;359
Ericsson;4G;6600;ML ESTACAO BELA VISTA;03703;14;4LB06600N_ML_ESTACAO_BELA_VISTA;3550;457;5;152;1;380;L900;ACTIVATED;4LB06600;2;16;LIVE;268-1-6600-14;Indoor;-9.11961;38.749694;10 MHz;DL 50Mbps / UL 36.7Mbps;CST;50;36.7;FDD;8;FDD;N;Indoor;5;LIVE;LIVE;0;0;0;0;INDOOR_0;359
Ericsson;4G;9042;HOSPITAL DA CUF DESCOBERTAS;04381;1;4LB09042A_HOSPITAL_DA_CUF_DESCOBERTAS;6300;330;5;110;0;556;L800;ACTIVATED;4LB09042;1;6;LIVE;268-1-9042-1;Indoor;-9.099573;38.758074;10 MHz;DL 50Mbps / UL 36.7Mbps;CST;50;36.7;FDD;20;FDD;1;Indoor;1;LIVE;LIVE;0;3;0;0;INDOOR_0;359
Ericsson;4G;5029;CABO RUIVO II;06215;4;4LB05029D_CABO_RUIVO_II;1300;310;5;103;1;116;L1800;ACTIVATED;4LB05029;1;7;LIVE;268-1-5029-4;Torre;-9.10391;38.75766;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;350;29;2;5;ATR4518R2_350;61
Ericsson;4G;5029;CABO RUIVO II;06215;5;4LB05029E_CABO_RUIVO_II;1300;311;5;103;2;138;L1800;ACTIVATED;4LB05029;2;7;LIVE;268-1-5029-5;Torre;-9.10391;38.75766;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;170;29;0;7;ATR4518R2_170;61
Ericsson;4G;5029;CABO RUIVO II;06215;6;4LB05029F_CABO_RUIVO_II;1300;309;5;103;0;94;L1800;ACTIVATED;4LB05029;3;7;LIVE;268-1-5029-6;Torre;-9.10391;38.75766;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;260;29;0;7;ATR4518R2_260;61
Ericsson;4G;5029;CABO RUIVO II;06215;7;4LB05029G_CABO_RUIVO_II;2950;310;5;103;1;116;L2600;ACTIVATED;4LB05029;1;13;LIVE;268-1-5029-7;Torre;-9.10391;38.75766;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;7;FDD;7;Macro;4;LIVE;LIVE;350;27;2;7;K80010644_350;65
Ericsson;4G;5029;CABO RUIVO II;06215;8;4LB05029H_CABO_RUIVO_II;2950;311;5;103;2;138;L2600;ACTIVATED;4LB05029;2;13;LIVE;268-1-5029-8;Torre;-9.10391;38.75766;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;7;FDD;8;Macro;4;LIVE;LIVE;170;27;0;5;K80010644_170;65
Ericsson;4G;5029;CABO RUIVO II;06215;9;4LB05029I_CABO_RUIVO_II;2950;309;5;103;0;94;L2600;ACTIVATED;4LB05029;3;13;LIVE;268-1-5029-9;Torre;-9.10391;38.75766;20 MHz;DL 202Mbps / UL 75.4Mbps;L;202;75.4;FDD;7;FDD;9;Macro;4;LIVE;LIVE;260;27;0;5;K80010644_260;65
Ericsson;4G;5029;CABO RUIVO II;06215;1;4LB05029A_CABO_RUIVO_II;6300;310;5;103;1;116;L800;ACTIVATED;4LB05029;1;6;LIVE;268-1-5029-1;Torre;-9.10391;38.75766;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;350;29;2;9;ATR4518R2_350;68
Ericsson;4G;5029;CABO RUIVO II;06215;2;4LB05029B_CABO_RUIVO_II;6300;311;5;103;2;138;L800;ACTIVATED;4LB05029;2;6;LIVE;268-1-5029-2;Torre;-9.10391;38.75766;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;170;29;0;9;ATR4518R2_170;68
Ericsson;4G;5029;CABO RUIVO II;06215;3;4LB05029C_CABO_RUIVO_II;6300;309;5;103;0;94;L800;ACTIVATED;4LB05029;3;6;LIVE;268-1-5029-3;Torre;-9.10391;38.75766;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;260;29;0;6;ATR4518R2_260;68
Ericsson;4G;5370;CHELAS III;06953;4;4LB05370D_CHELAS_III;1300;141;5;47;0;588;L1800;ACTIVATED;4LB05370;1;7;LIVE;268-1-5370-4;Edificio;-9.111353;38.751678;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;4;Macro;2;LIVE;LIVE;300;23;0;3;AQU4518R5_300;65
Ericsson;4G;5370;CHELAS III;06953;5;4LB05370E_CHELAS_III;1300;142;5;47;1;610;L1800;ACTIVATED;4LB05370;2;7;LIVE;268-1-5370-5;Edificio;-9.111353;38.751678;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;5;Macro;2;LIVE;LIVE;100;23;0;3;AQU4518R5_100;65
Ericsson;4G;5370;CHELAS III;06953;6;4LB05370F_CHELAS_III;1300;143;5;47;2;632;L1800;ACTIVATED;4LB05370;3;7;LIVE;268-1-5370-6;Edificio;-9.111353;38.751678;20 MHz;DL N/AMbps / UL 75.4Mbps;L;N/A;75.4;FDD;3;FDD;6;Macro;2;LIVE;LIVE;180;23;0;0;AQU4518R5_180;65
Ericsson;4G;5370;CHELAS III;06953;81;4LB05370X_CHELAS_III;6300;141;100;47;0;n/a;L800;ACTIVATED;4LB05370;1;6;LIVE;268-1-5370-81;Edificio;-9.111353;38.751678;n/a;N/A;L;N/A;N/A;FDD;NULL;NB-IoT;81;Macro;1;LIVE;LIVE;300;23;0;8;AQU4518R5_300;65
Ericsson;4G;5370;CHELAS III;06953;1;4LB05370A_CHELAS_III;6300;141;5;47;0;588;L800;ACTIVATED;4LB05370;1;6;LIVE;268-1-5370-1;Edificio;-9.111353;38.751678;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;1;Macro;1;LIVE;LIVE;300;23;0;8;AQU4518R5_300;65
Ericsson;4G;5370;CHELAS III;06953;2;4LB05370B_CHELAS_III;6300;142;5;47;1;610;L800;ACTIVATED;4LB05370;2;6;LIVE;268-1-5370-2;Edificio;-9.111353;38.751678;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;2;Macro;1;LIVE;LIVE;100;23;0;7;AQU4518R5_100;65
Ericsson;4G;5370;CHELAS III;06953;82;4LB05370Y_CHELAS_III;6300;142;100;47;1;n/a;L800;ACTIVATED;4LB05370;2;6;LIVE;268-1-5370-82;Edificio;-9.111353;38.751678;n/a;N/A;L;N/A;N/A;FDD;NULL;NB-IoT;82;Macro;1;LIVE;LIVE;100;23;0;7;AQU4518R5_100;65
Ericsson;4G;5370;CHELAS III;06953;83;4LB05370Z_CHELAS_III;6300;143;100;47;2;n/a;L800;ACTIVATED;4LB05370;3;6;LIVE;268-1-5370-83;Edificio;-9.111353;38.751678;n/a;N/A;L;N/A;N/A;FDD;NULL;NB-IoT;83;Macro;1;LIVE;LIVE;180;23;0;7;AQU4518R5_180;65
Ericsson;4G;5370;CHELAS III;06953;3;4LB05370C_CHELAS_III;6300;143;5;47;2;632;L800;ACTIVATED;4LB05370;3;6;LIVE;268-1-5370-3;Edificio;-9.111353;38.751678;10 MHz;DL 100Mbps / UL 36.7Mbps;L;100;36.7;FDD;20;FDD;3;Macro;1;LIVE;LIVE;180;23;0;7;AQU4518R5_180;65
Ericsson;4G;9042;CUF DESCOBERTAS HOSPITAL - NOVO EDIFICIO;59649;2;4LB09042B_CUF_DESCOBERTAS_HOSPITAL___NOVO_EDIFICIO;6300;331;5;110;1;578;L800;ACTIVATED;4LB09042;2;6;LIVE;268-1-9042-2;Indoor;-9.09851129926687;38.758177543956;10 MHz;DL 50Mbps / UL 36.7Mbps;CST;50;36.7;FDD;20;FDD;2;Indoor;1;LIVE;LIVE;0;3;0;0;INDOOR_0;359
